"Screen_Tech","Star Rating Index","screensize (inch)"
"LCD",1.440505537,85.61968503937007
"LCD",1.780659866,74.46141732283465
"LCD",2.081816353,64.42677165354331
"LCD",2.260052118,64.5488188976378
"LCD",3.000730687,64.42677165354331
"LCD",3.031171045,54.64488188976378
"LCD",3.033614052,74.52992125984252
"LCD",3.040157614,74.54330708661418
"LCD",3.12174887,74.4763779527559
"LCD",3.188182682,84.56023622047243
"LCD",3.338778873,49.49803149606299
"LCD",3.404361802,49.49803149606299
"LCD",3.446509123,21.414173228346456
"LCD",3.50085283,64.5259842519685
"LCD",3.536463659,23.807086614173226
"LCD",3.564343081,64.51889763779526
"LCD",3.572954535,54.73307086614173
"LCD",3.581282536,64.55314960629921
"LCD",3.58692182,74.54330708661418
"LCD",3.591249163,64.5259842519685
"LCD",3.627166105,54.64488188976378
"LCD",3.629806551,74.54330708661418
"LCD",3.709868199,74.18267716535433
"LCD",3.716007447,54.63897637795275
"LCD",3.730630573,39.5007874015748
"LCD",3.742547514,74.52992125984252
"LCD",3.743698138,49.31141732283465
"LCD",3.749461878,74.53582677165355
"LCD",3.755691879,49.463779527559055
"LCD",3.759398017,49.49803149606299
"LCD",3.795184856,49.6503937007874
"LCD",3.851047672,23.816141732283466
"LCD",3.858208976,69.50314960629922
"LCD",3.919909945,18.60511811023622
"LCD",3.955295134,41.50196850393701
"LCD",3.976064761,21.506299212598424
"LCD",3.981090395,54.73307086614173
"LCD",3.98231926,84.56023622047243
"LCD",4.000637701,54.63897637795275
"LCD",4.005266563,49.35629921259842
"LCD",4.005345197,64.61771653543306
"LCD",4.011145139,54.63897637795275
"LCD",4.014220466,64.4996062992126
"LCD",4.015959058,74.52992125984252
"LCD",4.019291094,49.44448818897638
"LCD",4.025599758,57.42716535433071
"LCD",4.045303226,42.485039370078745
"LCD",4.045422807,74.52992125984252
"LCD",4.050316323,23.807086614173226
"LCD",4.053423001,54.63897637795275
"LCD",4.056094456,74.51732283464567
"LCD",4.076463413,64.4996062992126
"LCD",4.119810394,31.517322834645668
"LCD",4.123905177,54.61062992125985
"LCD",4.137683429,39.50196850393701
"LCD",4.223907359,64.5259842519685
"LCD",4.247706889,54.64488188976378
"LCD",4.292298502,54.64488188976378
"LCD",4.298248697,69.50314960629922
"LCD",4.305760304,49.5003937007874
"LCD",4.323802248,64.56811023622046
"LCD",4.333587411,18.509055118110236
"LCD",4.339714644,64.51889763779526
"LCD",4.383305897,57.50708661417323
"LCD",4.428154028,69.50314960629922
"LCD",4.452167843,74.51417322834645
"LCD",4.463583814,54.64488188976378
"LCD",4.506395614,41.494488188976376
"LCD",4.506588375,54.572047244094485
"LCD",4.522165303,54.64488188976378
"LCD",4.546877182,54.63897637795275
"LCD",4.549345524,64.2251968503937
"LCD",4.553267261,42.5
"LCD",4.554792153,49.5003937007874
"LCD",4.561680559,31.511417322834646
"LCD",4.563780004,23.55275590551181
"LCD",4.570491732,54.492913385826775
"LCD",4.577521377,49.463779527559055
"LCD",4.578557884,69.5035433070866
"LCD",4.618566593,74.52992125984252
"LCD",4.630331973,23.781889763779528
"LCD",4.63081283,23.807086614173226
"LCD",4.636007606,42.44645669291338
"LCD",4.638914904,64.5259842519685
"LCD",4.670531682,42.514566929133856
"LCD",4.705258231,84.56023622047243
"LCD",4.709136101,23.55275590551181
"LCD",4.716505624,23.440944881889763
"LCD",4.778103074,64.55314960629921
"LCD",4.78942943,54.64488188976378
"LCD",4.792068114,84.56023622047243
"LCD",4.798447235,23.708661417322833
"LCD",4.81660531,74.51732283464567
"LCD",4.819594334,69.5035433070866
"LCD",4.840846164,54.63897637795275
"LCD",4.853523457,54.63897637795275
"LCD",4.887294326,54.61062992125985
"LCD",4.897938043,64.50393700787401
"LCD",4.903531155,54.64488188976378
"LCD",4.908338226,69.5035433070866
"LCD",4.939941086,42.51496062992126
"LCD",4.971818859,31.32992125984252
"LCD",4.977614981,23.807086614173226
"LCD",4.989492688,64.5259842519685
"LCD",5.00434214,41.50472440944882
"LCD",5.00569132,69.50314960629922
"LCD",5.010874187,31.48307086614173
"LCD",5.016571588,39.49015748031496
"LCD",5.016705354,31.511417322834646
"LCD",5.016718726,31.511417322834646
"LCD",5.017184873,31.512992125984255
"LCD",5.020064671,39.417716535433065
"LCD",5.020720524,74.54330708661418
"LCD",5.021677271,54.63897637795275
"LCD",5.025863763,31.39527559055118
"LCD",5.028042776,64.5259842519685
"LCD",5.029978519,64.2744094488189
"LCD",5.030432129,60.10354330708662
"LCD",5.030987669,31.42952755905512
"LCD",5.03487734,54.63897637795275
"LCD",5.035437845,74.54330708661418
"LCD",5.051048463,31.511417322834646
"LCD",5.053020883,64.4996062992126
"LCD",5.053288981,49.37165354330708
"LCD",5.055950764,69.50314960629922
"LCD",5.06181817,54.443700787401575
"LCD",5.063138327,23.53307086614173
"LCD",5.065515603,18.509055118110236
"LCD",5.072829956,69.50314960629922
"LCD",5.075471345,23.74763779527559
"LCD",5.08202138,23.806299212598425
"LCD",5.086738931,31.518503937007875
"LCD",5.08761901,45.98779527559055
"LCD",5.08985389,64.51456692913385
"LCD",5.094795271,74.54330708661418
"LCD",5.099926866,65.10472440944882
"LCD",5.109199296,42.5
"LCD",5.11807305,39.681496062992125
"LCD",5.120529237,31.511417322834646
"LCD",5.121511445,23.55275590551181
"LCD",5.151965447,74.51732283464567
"LCD",5.155460941,54.63897637795275
"LCD",5.155671251,64.5259842519685
"LCD",5.171129579,23.53307086614173
"LCD",5.182435339,69.51338582677165
"LCD",5.214004184,39.5011811023622
"LCD",5.22302967,84.56023622047243
"LCD",5.251544073,54.63897637795275
"LCD",5.255491804,42.46574803149606
"LCD",5.263525424,42.514566929133856
"LCD",5.27937907,54.63897637795275
"LCD",5.292813831,23.796850393700787
"LCD",5.295678365,49.5003937007874
"LCD",5.337279014,39.502362204724406
"LCD",5.364749558,39.5007874015748
"LCD",5.374183395,42.514566929133856
"LCD",5.388483737,57.50708661417323
"LCD",5.388613081,42.46574803149606
"LCD",5.395247284,23.53307086614173
"LCD",5.447255106,31.511417322834646
"LCD",5.461003955,23.989763779527557
"LCD",5.468284089,42.519291338582676
"LCD",5.479867365,42.572834645669296
"LCD",5.483988772,31.644094488188976
"LCD",5.489942004,49.249212598425196
"LCD",5.504033537,54.61062992125985
"LCD",5.507742024,64.5259842519685
"LCD",5.522126954,23.55236220472441
"LCD",5.53220523,31.5507874015748
"LCD",5.552808911,54.63897637795275
"LCD",5.567672673,54.63897637795275
"LCD",5.572538475,39.50275590551181
"LCD",5.573990746,18.60511811023622
"LCD",5.580525627,42.514566929133856
"LCD",5.582585898,54.63897637795275
"LCD",5.58379219,64.5259842519685
"LCD",5.590070247,57.514960629921255
"LCD",5.597196158,41.4755905511811
