"Avg_mode_power","screensize (inch)"
10,23.553937007874016
14,23.518110236220473
14.61,18.509055118110236
14.7,15.546062992125984
14.83,23.807086614173226
14.89,18.60511811023622
15.1,15.546062992125984
15.1,23.53307086614173
15.12,18.509055118110236
15.3,18.509055118110236
15.3,27.024409448818897
15.38,23.553937007874016
15.85,24.499212598425196
15.8694,18.509055118110236
15.87,31.512992125984255
15.8718,18.509055118110236
16.1448,18.509055118110236
16.1569,18.42007874015748
16.1569,19.020866141732284
16.17,23.53307086614173
16.2,23.53307086614173
16.3,23.53307086614173
16.33,23.806692913385827
16.5,23.53307086614173
16.9,23.53307086614173
17.0946,23.55275590551181
17.14,23.807086614173226
17.1498,23.55275590551181
17.38,23.498818897637793
17.48,23.807086614173226
17.74,18.501968503937007
17.74,23.55275590551181
17.766,23.53307086614173
17.766,23.55275590551181
17.8,21.450787401574804
18,23.53307086614173
18.4,23.55275590551181
18.47,18.509055118110236
18.72,23.541732283464565
19.2,23.55275590551181
19.4,18.509055118110236
19.6,23.546850393700787
19.64,23.807086614173226
19.8,23.53307086614173
19.8,23.55236220472441
20,23.55275590551181
20.12,23.659448818897637
20.2,23.53307086614173
20.2,23.553937007874016
20.24,23.53307086614173
20.3,23.54724409448819
20.5,23.55275590551181
20.64,21.53031496062992
20.8,23.53307086614173
20.83,23.5496062992126
20.94,23.53307086614173
20.96,23.553937007874016
21,23.79763779527559
21,23.807086614173226
21.55,23.989763779527557
21.64,23.796850393700787
21.68,31.511023622047244
21.71,18.60511811023622
21.96,23.74763779527559
22,23.53307086614173
22,23.55275590551181
22,23.806299212598425
22.07,31.511417322834646
22.1,23.55275590551181
22.2,23.55275590551181
22.3,23.55275590551181
22.3,23.553937007874016
22.6,23.708661417322833
22.8,31.511811023622048
22.9,31.48307086614173
23,23.553937007874016
23.28,23.807086614173226
23.298,31.517322834645668
23.3,31.512992125984255
23.5,31.517322834645668
23.55,23.807086614173226
23.798,31.888582677165353
23.8,31.512992125984255
23.82,23.440944881889763
23.89,23.440944881889763
23.98,23.5496062992126
24,31.512992125984255
24.01,23.708661417322833
24.1,31.48307086614173
24.17,31.511417322834646
24.2,23.55275590551181
24.2,23.727952755905513
24.2,31.511417322834646
24.3,31.517322834645668
24.37,23.708661417322833
24.48,39.50905511811023
24.52,31.32992125984252
24.6,27.00748031496063
24.61,31.511417322834646
24.687,31.511417322834646
24.7,31.548425196850392
24.81,21.53031496062992
24.82,31.54763779527559
24.84,31.517322834645668
24.9,31.517322834645668
25,23.548818897637794
25.03,23.546850393700787
25.17,23.781889763779528
25.2,21.506299212598424
25.21,31.57086614173228
25.23,23.807086614173226
25.23,31.519685039370078
25.26,31.517322834645668
25.3,23.55275590551181
25.3,23.807086614173226
25.32,31.511811023622048
25.4,31.48307086614173
25.5,31.512992125984255
25.5,31.517322834645668
25.58,23.807086614173226
25.68,23.807086614173226
25.7,31.517322834645668
25.8,31.48307086614173
25.83,23.807086614173226
25.84,24.38110236220472
25.92,31.511417322834646
25.92,39.5007874015748
25.93,31.511811023622048
26,31.517322834645668
26.3,23.53307086614173
26.3,31.517322834645668
26.4498,31.511417322834646
26.67,23.807086614173226
26.7,31.517322834645668
27,31.48307086614173
27,31.54763779527559
27.036,31.511417322834646
27.036,31.512992125984255
27.1,31.511417322834646
27.1,31.512992125984255
27.14,31.512992125984255
27.2,31.512992125984255
27.2,31.517322834645668
27.25,21.992125984251967
27.25,23.55275590551181
27.3,23.548818897637794
27.42,31.511811023622048
27.7,31.48307086614173
27.7,31.511417322834646
27.83,31.548425196850392
28,31.48307086614173
28,31.517322834645668
28,31.536614173228344
28.1,21.414173228346456
28.17,39.5007874015748
28.2,31.511023622047244
